Latein;Bedeutung (Deutsch);Quelle / Autor
Cogito ergo sum.;Ich denke, also bin ich;nach René Descartes
Corruptio optimi pessima.;Die Entartung des Besten führt zum Schlimmsten;nach Gregorius Magnus
Corruptissima re publica plurimae leges.;Je verdorbener der Staat, desto mehr Gesetze hat er;gemäß Tacitus, Annalen III, 27
Cui bono?.;Wem nützt es?;Cassius, gemäß Cicero, Philippica II, XIV, 35
Cum deo pro patria et libertate.;Aufgedruckt auf Fahnen von Franz II. Rákóczi;
Cum tacent clamant.;Indem sie schweigen, reden sie;
Cum grano salis.;Mit einem Korn Salz;
De gustibus non est disputandum.;Über Geschmack kann man nicht streiten;Jean Anthelme Brillat-Savarin
De mortuis nil nisi bene.;Über Tote nichts sagen, es sei denn Gutes;Chilon von Sparta, gemäß Diogenes Laertius, Leben und Meinungen berühmter Philosophen, I, 70
De omnibus dubitandum.;An allem ist zu zweifeln;
Decipimur specie recti.;Wir täuschen uns vom Schein des Rechten;Horaz, De arte Poetica, 25
Deo volente.;Mit Gottes Willen;Nach Paulus, Vulgata, Apg. 18, 21
Deus vult.;Gott will es!;so rief Papst Urban II. 1095 auf der Synode von Clermont zur Befreiung Jerusalems auf
Deus ex machina.;Gott-aus-der-Maschine, was ein griechischer Theaterkran war, um Darsteller fliegen zu lassen;Lehnübersetzung aus dem Griechischen ἀπὸ μηχανῆς θεός, Dion Chrysostomus, 13. Rede, 14
Deficiente pecunia deficit omne.;Mangelt im Beutel die Barschaft, mangelt's an Jeglichem;
Diem perdidi.;Ich habe einen Tag verloren;Ausruf des röm. Kaisers Titus, überliefert durch Sueton, Leben des Titus 8. Titus hatte bemerkt, an jenem Tag noch niemandem etwas Gutes getan zu haben
Difficilia quae pulchra.;Was schwierig ist lieblich;Übersetzung des griechischen χαλεπὰ τὰ καλά von Erasmus von Rotterdam, in Adagiorum chiliades, 2.1.12
Divide et impera!.;Teile und herrsche;
Dulce et decorum est pro patria mori.;Süß und ehrenvoll ist es, fürs Vaterland zu sterben;Horaz, Oden Buch 3, 2, 13
Do, ut des.;Ich gebe, damit du gibst;altrömische Rechtsformel, zitiert in Hugo Grotius De jure belli ac pacis libri tres
Donec eris felix, multos numerabis amicos. Tempora si fuerint nubila, solus eris.;Solange Du glücklich bist, wirst Du viele Freunde haben. Wenn die Zeiten bewölkt sein werden, wirst Du allein sein;Ovid, Tristia I,9,5
Dosis sola venenum facit.;Allein die Dosis machts, daß ein Ding ein Gift sei;Paracelsus, dritte defensio, 1538
Dum spiro spero.;Solange ich atme, hoffe ich;Cicero, ad Atticum 9, 10, 3
Duobus certantibus tertius gaudet.;Wenn zwei sich streiten, freut sich der dritte;
Dura lex, sed lex.;Das Gesetz ist hart, aber es ist das Gesetz;
Epistula non erubescit.;Ein Brief errötet nicht;Cicero
Errare humanum est.;Irren ist menschlich;Cicero, Philippica XII, 2
Esse quam videri.;Besser [tugendhaft] sein als scheinen;Cicero, Laelius de amicitia, 98
Est modus in rebus.;Es gibt ein Maß in allen Sach';Horaz, Sermones, 1, 1, 106
Etiam si omnes - ego non.;Auch wenn alle [mitmachen] - ich nicht;nach Matthäus 26,33: Wenn sich auch alle an dir ärgerten, so will ich doch mich nimmermehr ärgern
Ex nihilo nihil fit.;Von nichts kommt nichts;Lukrez Buch I,150,250 und II.287
Ex oriente lux.;Aus dem Osten kommt das Licht;geht zurück auf das Alte Testament und den Propheten Hesekiel 43,2 EU
Extra ecclesiam nulla salus.;Außerhalb der Kirche kein Heil;Katholischer Rechtsgrundsatz
Ego sum, qui sum.;Ich bin, wer ich bin. Exodus 3,14 EU;
Ego sum principium mundi et finis saeculorum attamen non sum deus.;Ich bin der Anfang der Welt und das Ende der Zeiten, aber ich bin nicht Gott;
Ex hoc momento pendet aeternitas.;An diesem Augenblick hängt die Ewigkeit;
Faber est suae quisque fortunae. oder Faber est quisque fortunae suae.;Jeder ist Schmied seines Glücks;Appius Claudius Caecus, zitiert bei Sallust, 2. Brief an Caesar, I
factum fieri infectum non potest.;Geschehenes kann nicht ungeschehen gemacht werden;Terenz, Phormio 5, 8, 45
Fata viam invenient.;Das Schicksal findet seinen Weg;Vergil, Aeneis X, 113
Festina lente!.;Eile mit Weile!;Augustus gemäß Sueton, Leben des Augustus 25, 4
Flet victus, victor interiit.;Der Besiegte weint, der Sieger geht zu Grunde;Übersetzung des griechischen κλαίει ὁ νικηθείς, ὁ δὲ νικήσας ἀπόλωλεν von Erasmus von Rotterdam, in Adagiorum chiliades 2.6.24, nach Plutarch, Leben des Demosthenes 19,1 und 21,4. Es soll eine Weissagung über Philipp von Mazedonien gewesen sein, der kurz nach seinem Sieg bei Chäronea ermordet wurde
Fluctuat nec mergitur.;Sie schwankt, geht aber nicht unter. bzw. Von Wogen überflutet wird sie nicht untergehen;Wahlspruch der französischen Hauptstadt Paris, siehe: Wikipedia-Artikel
Gutta cavat lapidem non vi sed saepe cadendo.;Der Tropfen höhlt den Stein nicht durch Kraft, sondern durch stetes Fallen., oder Der stete Tropfen höhlt den Stein;Ovid, epistulae ex Ponto 4, 10 5
Hannibal ante portas!.;Hannibal (ist;überliefert von Cicero in Zusammenhang mit dem 2. Punischen Krieg
Hic Rhodos hic salta.;[Hier ist Rhodos hier springe];bedeutet: Zeig hier, was du kannst
Homo homini lupus.;Der Mensch ist dem Menschen ein Wolf;nach Plautus, Asinaria 495
Homo totiens moritur, quotiens amittit suos.;Der Mensch stirbt, sooft er Angehörige verliert;
Hodie Mecum Eris In Paradiso.;Heute wirst du mit mir im Paradies sein;
Ibi fas ubi proxima merces.;Wo der Gewinn am höchsten ist, da ist das Recht;
In eadem es navi.;Du bist im selben Boot;
In magnis et voluisse sat est.;In großen Dingen genügt es auch, sie gewollt zu haben;Properz, elegiarum liber 2, 10, 6
In vino veritas.;Im Wein liegt Wahrheit;
In vite vita.;Im Weinstock ist Leben;
Inter arma enim silent leges.;Unter den Waffen schweigen die Gesetze;Cicero, Pro Milone, IV, 11
Ira furor brevis est.;Der Zorn ist eine kurze Raserei;Horaz, Epistula II ad Lollium Maximum, 62
Labor omnia vincit.;Arbeit besiegt alles bzw. Harte Arbeit siegt über alles;Vergil, Georgica, Buch I, Vers 145
Liberae sunt nostrae cogitationes. (Unsere Gedanken sind frei).;[Cicero, pro Milone § 79];
Magnos animos magnis honoribus fieri.;Edle Gesinnung kommt von hohen Ämtern;Liv. 4,35,9
Male parta male dilabuntur.;Übel Erworbenes geht übel zu Ende;– römisches Sprichwort
Manus manum lavat.;Eine Hand wäscht die andere;"Seneca d.J. apocolocyntosis 9, 6; Petron, satyricon liber 45, 13"
Mater semper certa est.;Die Mutter ist immer sicher;
Mater semper constat et vulgo concipit.;Die Mutter möge feststehen stets, von wievielen sie auch was empfangen ließ;
Mea culpa, mea culpa, mea maxima culpa.;Durch meine Schuld, durch meine Schuld, durch meine äußerst große Schuld;Aus dem Confiteor der lateinischen Messe
medias in res, eigentlich in medias res.;"mitten in die Dinge; entspricht im Deutschen zur Sache";Horaz, Ars poetica, 148
Medicus curat, natura sanat.;Behandeln möge der Doktor, heilen möge die Natur;[JBW, S. 88] [LVP, Nr. 1087]
Medio flumine quaerere aquam.;"Mitten im Fluß das Wasser suchen; entspricht im Deutschen Vor lauter Bäumen den Wald nicht sehen";nach Properz, Elegien Buch 1, IX 15-16
Memento mori.;Gedenke zu sterben;
Memento homo, quia es ex pulvere et in pulverem reverteris.;Erinnere dich Mensch, dass du aus Staub bist, und zu Staub zurückkehren wirst;gesprochen
Mens agitat molem!.;Der Geist bewegt die Materie!;Vergil, Aeneis 6, 727
Mens et Manus.;Geist und Hand;
Mens sana in corpore sano.;"Ein gesunder Geist sei in einem gesunden Körper.; verkürzt aus Orandum est ut sit ... Zu wünschen ist, dass";Juvenal, Satiren X, 356
Meum est propositum in taberna mori.;Mein Vorsatz ist es, in der Kneipe zu sterben;Archipoeta, Vagantenbeichte, Beginn 12. Strophe
Mors certa, hora incerta.;Der Tod ist gewiss, die Stunde nicht;
Multum, non multa.;Viel, nicht vielerlei;nach Plinius d.J., Briefe 7,9,15
Mundus vult decipi, ergo decipiatur.;Die Welt will betrogen sein, also soll sie betrogen werden;nach Sebastian Brant
Mutatis mutandis.;Nach den notwendigen Änderungen;
Mala Ultro Adsunt.;Unglück kommt von allein;
Narratio argentum aurum silentium.;Reden ist Silber, (aber;schweigen ist Gold
Naturam expelles furca, tamen usque recurret.;Auch wenn du die Natur mit der Mistgabel austreibst, wird sie immer zurückkehren;Horaz, Epistulae 1,10,24
Navigare necesse est.;Seefahrt tut not;von Plutarch dem Pompeius zugeschrieben
Nec facile mutabo dominum.;Nicht leicht wechsle ich den Herrn;
Nemo propheta in patria.;Niemand ist Prophet in seinem eigenen Land;
Nemo potest personam diu ferre, ficta cito in naturam suam recidunt.;Niemand kann lange (auf Dauer;
Nemo me impune lacessit.;Niemand ärgert mich ungestraft;der alte Wahlspruch Schottlands
Nescire quid ante quam natus sis acciderit, id est semper esse puerum.;Nicht zu wissen, was vor deiner Geburt geschehen ist, heißt immer ein Kind bleiben;nach Cicero
Nihil in terra sine causa fit.;Nichts auf Erden geschieht ohne Grund;
Nihil verum, omnia licita.;Nichts ist wahr, alles ist erlaubt;
Nolle in causa est, non posse praetenditur.;Nicht wollen ist der Grund, nicht können der Vorwand;
Nomen est omen.;Der Name ist ein Zeichen;nach Plautus, Der Perser, 625
Non quantum quisque prosit, sed quanti quisque sit, ponderandum est. (Cicero, Brutus 257).;Nicht muss man erwägen, wieviel jeder nützt, sondern wieviel jeder wert ist;
Nondum omnium dierum solem occidisse.;Es ist noch nicht aller Tage Abend;Philipp von Mazedonien, nach Titus Livius, Ab urbe condita 39, 26, 9
Non mortem timemus, sed cogitationem mortis.;Nicht den Tod fürchten wir, sondern die Vorstellung des Todes;Seneca d.J., Moralische Briefe an Lucilius, IV, XXX
Non scholae, sed vitae discimus.;Nicht für die Schule, sondern für das Leben lernen wir;im ironisch gemeinten Original umgedreht: Non vitae, sed scholae discimus. - Seneca d.J., Moralische Briefe an Lucilius, XVII, 106, 12
Nosce te ipsum.;Erkenne dich selbst;Cicero, de finibus 5, 16, 44
Nulla poena sine lege.;Keine Strafe ohne Gesetz;§1 des deutschen StGB
Nunc est bibendum!.;Nun muß getrunken werden!;Horaz, Carmina 1,37,1
Oleum et operam perdidi.;Öl und Arbeit habe ich vergeudet. sinngemäß: Alles war für die Katz;nach Plautus, Poenulus, 332
Omnis amans amens.;Jeder Liebende ist verrückt;Ovid
Omnia mea mecum porto.;Alles, was mein ist, trage ich mit mir;Cicero, Paradoxa ad Brutum, 1, 8
Ora et labora!.;Bete und arbeite!, freier: Zu Gott man spricht und tut die Pflicht!;Leitspruch der Benediktiner
Omnia tempus habent.;Alles hat seine Zeit;Vulgata Koh 3,1 VUL
opportet quod libet.;erlaubt ist, was gefällt;Leitspruch Ludwigs des XIV
Pacta sunt servanda.;Verträge müssen eingehalten werden;geht zurück auf Domitius Ulpianus der diesen Ausspruch bei seinen Rechtskommentaren nutzte
Pecunia non olet.;Geld stinkt nicht;Vespasian
Per aspera ad astra.;Durch Mühsal zu den Sternen;Abwandlung aus der Tragödie Der rasende Herkules von Seneca d.Ä
Pereat mundus.;Möge die Welt zugrunde gehen;
Perfer et obdura!.;Halte durch und sei hart!;Ovid, Ars Amatoria II 178, Amores III XIa, Tristia V XI
"Philippis me videbis! (fälschlich Ad Philippis ...; deutsch: Bei Philippi wirst du mich (wieder)sehen!).";nach Plutarch, Leben des Caesar, 69, 11 Sinngemäß: Meine Gelegenheit zur Rache kommt noch;
Plenus venter facile disputat de ieiuniis.;Mit vollem Bauch hat man leicht Reden über das Fasten;Hieronymus, epistulae 58,2
Plenus venter non studet libenter.;Ein voller Bauch studiert nicht gern;
Possum, sed nolo.;Ich kann, aber ich will nicht;
Post cenam stabis aut passus mille meabis.;Nach dem Essen sollst du ruh'n, oder tausend Schritte tun;
Primus inter pares.;Erster unter Gleichen;weiblich prima inter pares
Pro salute omnium.;Zum Wohl aller;
Pulvis et umbra sumus.;Staub und Schatten sind wir;
Qua fugiunt hostes, via munienda est.;Die Straß', auf der die Feinde fliehen, muss man unbedingt befreien;Nach Vegetius, Epitoma rei militaris, III 21, dort viam hostibus, qua fugerent, muniendam
Qualis artifex pereo!.;Welch ein Künstler geht mit mir zugrunde!;Nero, überliefert durch Sueton, De vita Caesarum, Nero 49,1
Qui bene bibit, bene vivit. Qui bene vivit, in caelum venit.;Wer gut verzehrt, gut existiert. Wer gut lebt, in Himmel schwebt;
"Qui bibit, dormit; qui dormit, non peccat; qui non peccat, sanctus est.";"Wer trinkt, in Schlaf versinkt; wer schläft, sündigt nicht; wer nicht sündigt, ist heilig (also: wer trinkt, ist heilig";
Quidquid agis prudenter agas et respice finem.;Wie immer du handelst, handele klug und bedenke das Ende (die Folgen;Gesta Romanorum, Cap. 103
Quidquid id est, timeo Danaos et dona ferentes.;Was es auch ist, ich fürchte die Danaer, auch wenn sie bringen Geschenke her;Vergil, Aeneis II, 49 / Laokoon
Quid sit futurum cras, fuge quaerere.;Was morgen sein wird, meide zu fragen;Horaz, c. I , 9, 13
Qui fodit foveam, incidet in eam.;Wer anderen eine Grub gräbt rein, der fällt am Ende selbst hinein;Bibel, Sprüche 26:27, Jesus Sirach 27:26 und Prediger 10:8
Quis custodiet ipsos custodes? (deutsch: Wer bewacht die Wächter selbst.;Umgesetzt: Wer überwacht die, die über uns das Sagen haben;
Quod erat demonstrandum.;Was zu beweisen war;Euklid, Elementa
Quod licet Iovi, non licet bovi.;Was Jupiter verricht, dürfen manche Ochsen nicht. bzw. Was dem Jupiter erlaubt ist, ist dem Ochsen nicht erlaubt;
Quod tibi non vis fieri, alteri ne feceris.;Was du nicht willst, dass es dir geschieht, so tue es auch anderen nicht an. bzw Behandele deinen Nächsten so, wie du behandelt werden willst;
Quo nos fata trahunt retrahuntque sequamur.;'Man muss es annehmen, wie es kommt- Vergil, Aen. I, 5, zitiert nach Karl Friedrich Wilhelm Wander et al.: Deutsches Sprichwörter-Lexikon: Ein Hausschatz für das deutsche Volk, Leipzig:F. A. Brockhaus, 1867, Spalte 95, Google Books}} (Tatsächlich heißt der Vers bei Vergil, Aen. V 709 [!]: nate dea, quo fata trahunt retrahuntque sequamur;
Quo usque tandem Catilina, abutere patientia nostra?.;Wie lange noch, Catilina, wirst du unsere Geduld missbrauchen?;Cicero, Catilinariae I
Quamquam sub aqua sunt,sub aqua maledicere temptant.;Obwohl sie (gemeint sind Frösche;Bedeutung: Obwohl manche selber bis zum Hals im Dreck stecken, können sie immer noch über andere schimpfen
Rem tene, verba sequentur (deutsch: [An] die Sache halte [dich], die Worte werden sich [von selbst] einstellen.;Cato der Ältere rät seinem Sohn Marcus, sachorientiert zu sprechen. Nach Gaius Iulius Victor: Ars Rhetorica. In: Rhetores Latini minores, ed. Karl Felix Halm, Leipzig Teubner 1863, Seite 374 archive.org Zeile 17-18. Siehe auch PONS Wörterbuch der lateinischen Redensarten;S. 130
Repetitio mater studiorum est.;Wiederholung ist die Mutter der Mühen (Weisheit;Äquivalent zum deutschen Übung macht den Meister, allgemeiner Lehrsatz
Requiescat in pace.;Ruhe in Frieden;Häufige Grabinschrift in Verbindung mit Psalm 4,9 nach der Vulgata
Ridendo corrigo mores.;Durch Lachen verbessere ich die Sitten;
Roma locuta, causa finita.;Rom hat gesprochen, der Fall ist abgeschlossen;
Sapere aude.;Wage es, weise zu sein;Horaz, epist. I,2,40
Semper aliquid haeret.;Es bleibt immer etwas hängen;nach Plutarch
Semper fidelis.;Für immer treu;Wahlspruch der US-Marines
Semper flamma fumo est proxima.;Die Flamme ist dem Rauch immer nahe. – Wo Rauch ist, da ist auch Feuer;
Senatores boni viri, senatus autem bestiae.;Die Senatoren sind gute Männer, doch der Senat ist eine Bestie;
Scientia potentia est.;Wissen ist Macht;nach Francis Bacon, Meditationes sacrae, 11
Scio me nihil scire.;Ich weiß, dass ich nichts weiß;auch: Scio nescio
Sic parvis magna.;Großes aus kleinen Ursprüngen;Motto des Seefahrers Sir Francis Drake
Sic transit gloria mundi.;So vergeht der Ruhm der Welt;
Silent enim leges inter arma.;Unter den Waffen nämlich schweigen die Gesetze;Cicero
Silentium est Aureum.;Schweigen ist Gold;
Similia similibus curentur.;Ähnliches soll durch Ähnliches geheilt werden;Heilprinzip der Homöopathie
Similis simili gaudet.;Gleich und Gleich gesellt sich gern;
Simul iustus et peccator.;Gerechter und Sünder zugleich;nach Martin Luther, Römerbriefvorlesung 1515/1516, WA 56, 347, 3-4: Simul Iustus est et peccat
Sine ira et studio.;Ohne Zorn und Eifer;nach Tacitus, Annalen I, 1
Si vis pacem, cole iustitiam Wenn du Frieden willst, pflege die Gerechtigkeit.;(Inschrift über dem Haager Friedenspalast);
Si tacuisses, philosophus mansisses.;Wenn du hättest geschwiegen, so wärest du ein Philosoph geblieben;Boëthius, Trost der Philosophie, II, 7
Si vis pacem, para bellum!.;Wenn du willst den Fried, bereite vor den Krieg / rüste zum Krieg;nach Vegetius, Epitoma rei militaris, III, Vorwort
Somnus est imago mortis.;Der Schlaf ist das Abbild des Todes;nach Cicero, Tusculanae Disputationes I, 38
Suae quisque fortunae faber est.;Jeder ist seines eigenen Glückes Schmied!;
Sudetia non cantat.;In den Sudeten singt man nicht;1898
Summum ius summa iniuria.;Ein Maximum an Recht bedeutet sehr viel Unrecht;nach Terenz, Heauton Timorumenos, 796, in dieser Form von Cicero, De officiis, I, 33
Suum cuique.;Jedem das Seine;Cicero, de officiis 1, 15
Tempora mutantur, et nos mutamur in illis.;Die Zeiten ändern sich und wir ändern uns mit ihnen;nach Jan Gruters Deliciae poetarum Germanorum geht dieser Satz auf Kaiser Lothar I zurück
Tempus fugit - amor manet.;Es vergeht die Zeit - die Liebe bleibt;
Tertius gaudens.;"Der sich freuende Dritte.; entspricht im Deutschen Wenn zwei sich streiten, freut sich der Dritte";
Tertium non datur.;Ein drittes gibt es nicht;
Ubi bene, ibi patria.;Wo es einem gut geht, da ist das Vaterland;Seneca zugeschrieben
Ut desint vires tamen est laudanda voluntas.;Auch wenn die Kräfte fehlen, ist doch der [gute] Wille zu loben;Ovid, ex Ponto III, IV, 79
Urbi et orbi.;Der Stadt [Rom] und dem Erdkreis;päpstlicher Segen
Vae victis.;Wehe den Besiegten!;
Variatio delectat. oder Varietas delectat.;Abwechslung macht Freude;nach Phaedrus, Äsops Fabeln, II, Prolog 10 sensus ut delectet varietas
Veni, vidi, vici.;Ich kam, sah und siegte;Gaius Julius Caesar, überliefert durch Sueton, Divus Iulius, 37 und durch Seneca d.Ä., Suasoriae, 2, 21
Verba docent, exempla trahunt.;Worte lehren, Beispiele bekehren. vgl. Seneca, epist. mor. 6,5 ... longum iter est per praecepta, breve et efficax per exempla. - Lang ist der Weg durch Lehren, kurz und wirksam durch Beispiele;
Vestimentum non facit monachum.;Kleidung macht den Mönch nicht;Bedeutung: Nicht die Kleidung macht den Mönch aus, sondern seine Taten
"Video meliora, proboque; deteriora sequor.";Ich sehe das Bessere, heiße es gut und mache das Schlechtere;
Vigilia pretium libertatis.;Wachsamkeit ist der Preis der Freiheit;nato.int
Vincere aut mori.;Siegen oder sterben;nach Dares Phrygius, De excidio Troiae historia, 38
Vivere militare est.;Zu leben heißt zu kämpfen;nach Seneca d.J. epist. XVI, 96,5
